label,sensor,unit,variable,drop,notes
airpres,Air Pressure,hPa,,TRUE,
ap,Air Pressure,hPa,air_pressure,,
auxf,Auxilary F,,auxiliary_f,,
auxa,Auxiliary A,C,auxiliary_a,,
auxb,Auxiliary B,C,auxiliary_b,,
auxc,Auxiliary C,mV,auxiliary_c,,
auxd,Auxiliary D,,auxiliary_d,,
auxe,Auxiliary E,,auxiliary_e,,
auxg,Auxiliary G,mV,auxiliary_g,,
co2,Carbon Dioxcide,ppm,,,
cellpressure,Cell Pressure,NA,cell_pressure,,
cellpressuresd,Cell Pressure SD,NA,cell_pressure_sd,,
celltemp,Cell Temp,C,cell_temp,,
celltempsd,Cell Temp SD,C,cell_temp_sd,,
co2sd,CO2 SD,ppm,co2_sd,,
coincidence,Coincidence,%,coincidence,,
dp,Dew Point,C,dew_point,,
tempdew,Dew Point Temp,C,dew_point,TRUE,
co2d,Dry CO2,ppm,co2_dry,,
co2dsd,Dry CO2 SD,ppm,co2_dry_sd,,
ch4d,Dry Methane,ppm,ch4_dry,,
ch4dsd,Dry Methane SD,ppm,ch4_dry_sd,,
enclostemp,Enclosure Temp,C,temp_enclosure,,
flow,Flow,l/min,,,
hum,Humidity,%,rh,,
iadstemp,IADS Temp,C,iads_temp,,
ledlamp,LED Temp,C,led_temp,,
ch4,Methane,ppm,,,
ch4sd,Methane SD,ppm,ch4_sd,,
modus,Modus,,,TRUE,
no,Nitric Oxide,ppb,,,
no2,Nitrogen Dioxide,ppb,,,
nox,Nitrogen Oxides,ppb,,,
noxot,NOX Oven Temp,C,nox_oven_temp,,
o3f,NOX Ozone Flow,ml/min,nox_ozone_flow,,
noxpmt,NOX Photmultiplier Temp,C,nox_photomultiplier_temp,,
noxsf,NOX Sample Flow,ml/min,nox_sample_flow,,
o3,Ozone,ppb,,,
particle_count,Particle Count,P/cm3,,,
pm1,Particulate Matter (PM 1),ug/m3,,,
pm10,Particulate Matter (PM 10),ug/m3,,,
pm25,Particulate Matter (PM 2.5),ug/m3,,,
pmtotal,Particulate Matter (Total),ug/m3,pm_total,,
pm4,PM 4,ug/m3,,,
rawchandev,Raw Channel Deviation,,raw_channel_deviation,,
rd0,RD0,NA,,,
rd0sd,RD0 SD,NA,rd0_sd,,
rd1,RD1,NA,,,
rd1sd,RD1 SD,NA,rd1_sd,,
relairpress,Relative Air Pressure,hPa,relative_air_pressure,,
sucpump,Suction Pump Output,%,suction_pump_output,,
temp,Temperature,C,,,
tempsd,Temp SD,C,temp_sd,,
velocity,Velocity,m/s,,,not wind speed
h2o,Water,ppm,,,
h20sd,Water SD,ppm,h2o_sd,,
wd,Wind Direction,Deg,,,
windms,Wind Speed (m/s),m/s,ws,,
tempdew,Dew Point Temp,C,dew_point,,
wet,Wetness Sensor,,,,
mixingratio,Mixing Ratio,,mixing_ratio,,
wndchill,Wind Chill Temp,C,temp_wind_chill,,
airdensity,Air Density,Kg/m3,air_density,,
wetbulbtemp,Wet Bulb Temp,C,temp_wet_bulb,,
absolutehum,Absolute Humidity,mm,absolute_humidity,,wrong unit?
pm10fdmst3,PM10 Cap Temp,ug/m3,pm10_cap_temp,,wrong unit?
o3sf,Ozone Sample Flow,ml/min,o3_sample_flow,,
o3ct,Ozone Cell Temp,C,o3_cell_temp,,
o3si,Ozone Lamp Intensity,C,o3_lamp_intensity,,
